Stock,Price 31.10,Price 30.11,Return,Weight
OPTT,1.690000057220459,3.049999952316284,0.8047336384902941,0.07915040026261629
FNKO,6.340000152587891,9.350000381469727,0.4747634316149346,0.03554037645186421
WMG,26.530000686645508,28.350000381469727,0.06860156983487595,1.2366681029912785e-17
SDC,8.899999618530273,12.180000305175781,0.36853941879012797,0.04736062236498911
CIIC,10.029999732971191,24.100000381469727,1.4027917271270527,0.0
TWST,76.63999938964844,114.66999816894531,0.49621606318062533,0.019740493803883208
AKTX,1.5,1.5700000524520874,0.04666670163472494,0.0
CVCO,172.13999938964844,187.52000427246094,0.08934590994158775,6.667843360785852e-18
FARO,60.2400016784668,66.80999755859375,0.10906367359009293,0.0
BBQ,4.199999809265137,4.550000190734863,0.08333342794388489,0.12218649758832772
FNLC,23.1299991607666,25.190000534057617,0.08906188707456661,0.0
TSLA,388.0400085449219,585.760009765625,0.5095350913997669,0.1949071617192805
FEYE,13.84000015258789,15.359999656677246,0.10982655255282901,0.03849014947293824
ACCD,35.02000045776367,51.84000015258789,0.48029695816566875,0.018306177531814044
IFRX,3.819999933242798,3.9800000190734863,0.041884839954660524,0.0
ATEC,8.539999961853027,10.600000381469727,0.2412178488077787,0.15916234298233586
EXAS,123.83000183105469,118.19000244140625,-0.04554630789187319,0.1452901274408787
NMRK,4.735000133514404,7.179999828338623,0.5163673972295107,0.0
NVCR,122.0999984741211,126.83999633789062,0.038820621810033575,0.10763069403024987
FRTA,13.050000190734863,18.90999984741211,0.4490421127225487,0.03223495635082264
